Model (LALM),Method,Animal,,,,,,,,Emotion,,,,Gender,,,,,Language,,,,,,,,,,Std (all),Max - min,Max,Min,Std (Animal),Std (Emotion),Std (Gender),Std (Language)
,,Behavior,Care Item,Diet,Family,Locomotion,Physical,Reproduction,Vocalization,Descriptive Sentence,Facial Expression,Scenario,Social Interaction,History,Celebrity,Cloth,Title,Vocal,Iso,City,Dish,History,Language Family,Literary,Official Language,Test,Translation,,,,,,,,,
DeSTA2.5,FT (LLM),2.70,23.68,21.05,2.63,68.57,13.51,16.22,15.00,24.32,19.48,17.11,27.40,6.35,2.99,3.33,6.56,12.24,10.71,41.18,37.14,38.89,14.81,2.86,23.53,30.77,40.62,,15.74,65.94,68.57,2.63,20.89,4.65,3.71,14.37
,FT (Audio),24.32,39.47,21.05,5.26,25.71,32.43,45.95,40.00,44.59,46.75,47.37,45.21,85.71,80.60,71.67,93.44,81.63,67.86,58.82,74.29,66.67,74.07,54.29,58.82,41.03,81.25,,22.64,88.18,93.44,5.26,13.03,1.30,7.93,12.26
,KE,10.81,39.47,5.26,26.32,34.29,24.32,8.11,37.50,17.57,14.29,11.84,20.55,7.94,4.48,10.00,4.92,12.24,14.29,23.53,22.86,30.56,14.81,11.43,26.47,15.38,40.62,,10.93,36.14,40.62,4.48,13.66,3.80,3.31,9.42
,MEND,5.41,36.84,39.47,10.53,34.29,10.81,18.92,7.50,22.97,23.38,21.05,27.40,4.76,2.99,3.33,3.28,10.20,14.29,23.53,28.57,22.22,11.11,14.29,5.88,41.03,46.88,,13.01,43.89,46.88,2.99,14.19,2.67,3.04,13.75
,UnKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,I-IKE,83.78,92.11,68.42,47.37,85.71,78.38,78.38,92.50,72.97,51.95,68.42,68.49,80.95,53.73,70.00,78.69,83.67,82.14,70.59,77.14,72.22,59.26,48.57,61.76,66.67,84.38,,12.66,45.13,92.50,47.37,14.79,9.25,12.13,11.50
,IE-IKE,32.43,57.89,42.11,13.16,51.43,37.84,35.14,80.00,45.95,23.38,19.74,26.03,36.51,23.88,18.33,45.90,40.82,57.14,26.47,37.14,22.22,11.11,25.71,23.53,23.08,65.62,,16.83,68.89,80.00,11.11,19.82,11.74,11.60,17.82
,WISE,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Qwen2-Audio,FT (LLM),21.62,26.32,13.16,23.68,31.43,21.62,10.81,30.00,18.92,16.88,10.53,30.14,47.62,11.94,18.33,32.79,18.37,3.57,55.88,34.29,36.11,3.70,5.71,26.47,33.33,50.00,,13.77,52.31,55.88,3.57,7.34,8.17,14.39,19.62
,FT (Audio),56.76,71.05,36.84,28.95,37.14,51.35,43.24,60.00,47.30,44.16,35.53,42.47,90.48,35.82,40.00,88.52,57.14,75.00,44.12,40.00,38.89,44.44,31.43,64.71,28.21,62.50,,17.09,62.27,90.48,28.21,14.10,4.98,26.01,16.04
,KE,24.32,31.58,13.16,23.68,31.43,10.81,8.11,40.00,21.62,15.58,22.37,31.51,61.90,28.36,36.67,40.98,20.41,3.57,26.47,28.57,19.44,14.81,17.14,14.71,30.77,46.88,,12.89,58.33,61.90,3.57,11.36,6.57,15.68,12.41
,MEND,18.92,42.11,15.79,15.79,11.43,16.22,18.92,30.00,24.32,15.58,22.37,31.51,63.49,16.42,25.00,52.46,20.41,17.86,29.41,25.71,13.89,18.52,17.14,26.47,23.08,46.88,,12.76,52.06,63.49,11.43,10.03,6.55,21.05,9.87
,UnKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,I-IKE,29.73,34.21,21.05,18.42,31.43,10.81,5.41,40.00,22.97,16.88,15.79,32.88,77.78,28.36,31.67,55.74,28.57,10.71,35.29,20.00,19.44,18.52,14.29,17.65,23.08,46.88,,15.45,72.37,77.78,5.41,12.00,7.83,21.87,11.28
,IE-IKE,27.03,50.00,21.05,21.05,22.86,18.92,5.41,42.50,21.62,18.18,18.42,28.77,65.08,28.36,33.33,36.07,36.73,7.14,26.47,25.71,13.89,29.63,14.29,8.82,25.64,50.00,,13.91,59.67,65.08,5.41,14.05,4.94,14.45,13.26
,WISE,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Audio Flamingo 3,FT (LLM),35.14,39.47,26.32,18.42,20.00,32.43,32.43,27.50,14.86,18.18,21.05,17.81,76.19,40.30,51.67,49.18,38.78,17.86,20.59,14.29,25.00,29.63,34.29,32.35,33.33,37.50,,13.73,61.90,76.19,14.29,7.30,2.53,15.02,8.13
,FT (Audio),54.05,60.53,28.95,28.95,40.00,48.65,51.35,57.50,36.49,42.86,46.05,27.40,82.54,43.28,55.00,81.97,53.06,92.86,32.35,51.43,55.56,55.56,31.43,41.18,35.90,46.88,,16.64,65.46,92.86,27.40,12.31,8.22,17.98,18.84
,KE,37.84,39.47,23.68,23.68,17.14,32.43,24.32,27.50,14.86,20.78,22.37,19.18,76.19,41.79,48.33,49.18,40.82,28.57,20.59,25.71,25.00,37.04,31.43,17.65,30.77,37.50,,13.23,61.33,76.19,14.86,7.71,3.23,14.43,6.78
,MEND,35.14,47.37,21.05,28.95,22.86,32.43,29.73,27.50,17.57,18.18,19.74,17.81,74.60,41.79,48.33,50.82,40.82,21.43,20.59,17.14,27.78,25.93,34.29,20.59,33.33,40.62,,13.51,57.46,74.60,17.14,8.19,0.98,13.71,7.83
,UnKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,I-IKE,40.54,52.63,23.68,26.32,31.43,35.14,43.24,47.50,16.22,25.97,27.63,20.55,73.02,44.78,60.00,65.57,46.94,25.00,26.47,25.71,25.00,29.63,37.14,23.53,30.77,37.50,,14.47,56.80,73.02,16.22,10.21,5.21,12.08,5.26
,IE-IKE,48.65,47.37,28.95,31.58,34.29,35.14,45.95,55.00,24.32,23.38,25.00,30.14,77.78,44.78,60.00,67.21,57.14,57.14,32.35,25.71,33.33,33.33,34.29,35.29,25.64,40.62,,14.51,54.40,77.78,23.38,9.51,3.03,12.23,9.41
,WISE,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
