Model (LALM),Method,Gap,Rel.,Gen.,,,,Audio Loc.,,,,,Text Loc.,Port.,,,,,,,,,,,
,,,,Avg.,Type 1,Type 2,Type 3,Avg.,Type 1,Type 2,Type 3,Type 4,,,,,,,,,,,,,
DeSTA2.5,FT (LLM),0,100.00 (0.00),99.33 (2.11),100.00 (0.00),100.00 (0.00),98.00 (6.32),49.22 (9.23),56.00 (22.71),13.95 (11.80),72.00 (19.32),50.00 (14.14),78.00 (11.35),6.00 (9.66),100,6,,,,,,,,-0.6940534661,
,,1,78.00 (17.51),75.33 (19.13),74.00 (21.19),74.00 (21.19),78.00 (17.51),48.19 (9.59),54.00 (25.03),25.58 (23.21),58.00 (19.89),52.00 (21.50),72.00 (19.32),6.00 (9.66),78,6,,,,,,,,,
,,2,68.00 (21.50),68.00 (21.27),66.00 (21.19),70.00 (21.60),68.00 (23.48),45.60 (13.88),54.00 (29.89),30.23 (33.95),52.00 (25.30),44.00 (15.78),74.00 (13.50),10.00 (10.54),68,10,,,,,,,,,
,,3,64.00 (22.71),57.33 (22.71),56.00 (20.66),58.00 (23.94),58.00 (23.94),45.08 (10.07),54.00 (29.89),30.23 (26.25),46.00 (18.97),48.00 (13.98),72.00 (16.87),8.00 (10.33),64,8,,,,,,,,,
,,4,58.00 (19.89),52.67 (18.45),52.00 (19.32),52.00 (19.32),54.00 (18.97),41.97 (9.51),50.00 (25.39),25.58 (26.77),48.00 (21.50),42.00 (14.76),74.00 (13.50),10.00 (10.54),58,10,,,,,,,,,0.2221985577
,,5,54.00 (25.03),48.00 (22.40),48.00 (19.32),48.00 (25.30),48.00 (25.30),45.60 (11.08),58.00 (19.89),34.88 (28.23),48.00 (19.32),40.00 (13.33),70.00 (14.14),8.00 (10.33),54,8,,,,,,,,,
,FT (Audio),0,98.00 (6.32),87.33 (11.53),92.00 (13.98),90.00 (14.14),80.00 (16.33),53.37 (10.66),68.00 (25.30),44.19 (22.27),68.00 (21.50),32.00 (21.50),100.00 (0.00),50.00 (17.00),98,50,1,1,0.3714285714,,,,,0.6018932207,#VALUE!
,,1,78.00 (17.51),62.00 (20.14),64.00 (24.59),64.00 (15.78),58.00 (27.41),50.26 (8.64),60.00 (29.81),44.19 (22.01),62.00 (19.89),34.00 (13.50),100.00 (0.00),38.00 (19.89),78,38,2,3,,,,,,,
,,2,64.00 (24.59),46.00 (20.95),50.00 (23.57),46.00 (25.03),42.00 (19.89),40.93 (13.19),60.00 (29.81),39.53 (23.83),46.00 (21.19),18.00 (19.89),100.00 (0.00),30.00 (19.44),64,30,3,5,,,,,,,
,,3,62.00 (27.41),48.00 (20.80),46.00 (21.19),54.00 (29.89),44.00 (22.71),41.45 (15.53),62.00 (27.41),37.21 (27.09),40.00 (24.94),26.00 (18.97),100.00 (0.00),24.00 (20.66),62,24,4,6,,,,,,,
,,4,52.00 (21.50),38.00 (15.73),38.00 (17.51),44.00 (15.78),32.00 (19.32),39.38 (14.38),52.00 (23.48),41.86 (17.33),40.00 (26.67),24.00 (15.78),100.00 (0.00),42.00 (19.89),52,42,5,2,,,,,,,
,,5,46.00 (29.89),35.33 (19.89),42.00 (25.73),38.00 (23.94),26.00 (23.19),40.41 (8.89),46.00 (18.97),48.84 (24.61),46.00 (23.19),22.00 (19.89),100.00 (0.00),32.00 (16.87),46,32,6,4,,,,,,,
,MEND,0,18.00 (6.32),18.00 (4.50),16.00 (8.43),18.00 (6.32),20.00 (0.00),30.57 (11.57),36.00 (8.43),25.58 (18.83),26.00 (13.50),34.00 (21.19),56.00 (20.66),2.00 (6.32),18,,,,,,,,,0.7754767263,
,,1,12.00 (10.33),8.00 (8.20),6.00 (9.66),12.00 (10.33),6.00 (9.66),14.51 (7.17),12.00 (10.33),13.95 (14.76),16.00 (12.65),16.00 (18.38),34.00 (18.97),4.00 (8.43),12,,,,,,,,,,
,,2,4.00 (8.43),2.67 (6.44),2.00 (6.32),4.00 (8.43),2.00 (6.32),3.11 (3.66),4.00 (8.43),0.00 (0.00),6.00 (9.66),2.00 (6.32),20.00 (13.33),0.00 (0.00),4,,,,,,,,,,
,,3,2.00 (6.32),2.00 (6.32),2.00 (6.32),2.00 (6.32),2.00 (6.32),2.07 (3.55),4.00 (8.43),2.33 (7.91),0.00 (0.00),2.00 (6.32),6.00 (13.50),0.00 (0.00),2,,,,,,,,,,
,,4,2.00 (6.32),2.00 (6.32),2.00 (6.32),2.00 (6.32),2.00 (6.32),0.52 (1.58),2.00 (6.32),0.00 (0.00),0.00 (0.00),0.00 (0.00),2.00 (6.32),0.00 (0.00),2,,,,,,,,,,
,,5,0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),2.00 (6.32),0.00 (0.00),0,,,,,,,,,,
,KE,0,58.00 (22.01),64.00 (21.13),66.00 (23.19),62.00 (22.01),64.00 (22.71),41.97 (12.20),48.00 (28.60),18.60 (21.61),54.00 (26.75),44.00 (22.71),74.00 (16.47),18.00 (17.51),58,,,,,,,,,0.8848591887,
,,1,36.00 (12.65),33.33 (16.63),30.00 (14.14),34.00 (16.47),36.00 (22.71),33.68 (13.37),34.00 (16.47),20.93 (24.81),36.00 (22.71),42.00 (23.94),60.00 (21.08),16.00 (18.38),36,,,,,,,,,,
,,2,12.00 (16.87),14.67 (15.65),14.00 (18.97),14.00 (18.97),16.00 (15.78),29.53 (13.99),30.00 (19.44),30.23 (27.02),34.00 (16.47),24.00 (18.38),56.00 (26.33),4.00 (8.43),12,,,,,,,,,,
,,3,8.00 (10.33),12.67 (11.95),14.00 (16.47),10.00 (10.54),14.00 (16.47),24.35 (13.35),26.00 (25.03),20.93 (14.15),26.00 (21.19),24.00 (22.71),40.00 (28.28),8.00 (13.98),8,,,,,,,,,,
,,4,26.00 (31.34),14.00 (11.95),10.00 (14.14),18.00 (19.89),14.00 (13.50),21.24 (13.02),22.00 (19.89),30.23 (17.71),14.00 (13.50),20.00 (21.08),30.00 (21.60),6.00 (9.66),26,,,,,,,,,,
,,5,8.00 (13.98),9.33 (10.04),4.00 (8.43),14.00 (21.19),10.00 (14.14),14.51 (6.86),22.00 (17.51),20.93 (12.12),12.00 (13.98),4.00 (8.43),38.00 (11.35),4.00 (8.43),8,,,,,,,,,,
,UnKE,0,88.00,87.33,88.00,90.00,84.00,34.20,47.62,40.54,31.25,29.88,74.00,36.00,88.00,,,,,,,,,,
,,1,46.00,40.67,38.00,42.00,42.00,34.20,52.38,29.73,29.17,34.48,74.00,14.00,46.00,,,,,,,,,,
,,2,32.00,27.33,22.00,32.00,28.00,31.08,47.62,16.22,29.16,34.48,78.00,12.00,32.00,,,,,,,,,,
,,3,30.00,20.67,14.00,28.00,20.00,34.20,71.43,24.32,31.25,31.03,82.00,16.00,30.00,,,,,,,,,,
,,4,32.00,22.00,20.00,28.00,18.00,35.75,66.67,21.62,37.50,33.33,82.00,14.00,32.00,,,,,,,,,,
,,5,20.00,12.00,10.00,16.00,10.00,34.20,42.86,13.51,35.42,40.23,82.00,12.00,20.00,,,,,,,,,,
,IE-IKE,0,32.00 (19.32),30.00 (13.43),28.00 (16.87),30.00 (17.00),32.00 (13.98),59.07 (8.21),68.00 (21.50),48.84 (18.17),76.00 (18.38),42.00 (19.89),54.00 (28.36),28.00 (19.32),32,,,,,,,,,-0.1109400392,
,,1,26.00 (18.97),36.67 (19.69),36.00 (24.59),34.00 (18.97),40.00 (21.08),59.07 (10.26),64.00 (20.66),48.84 (20.42),76.00 (18.38),46.00 (25.03),58.00 (27.41),34.00 (25.03),26,,,,,,,,,,
,,2,30.00 (17.00),35.33 (20.62),36.00 (26.33),32.00 (21.50),38.00 (19.89),58.03 (12.19),64.00 (22.71),46.51 (17.35),72.00 (21.50),48.00 (21.50),50.00 (25.39),32.00 (23.48),30,,,,,,,,,,
,,3,32.00 (21.50),34.00 (17.34),30.00 (19.44),36.00 (18.38),36.00 (18.38),54.92 (5.30),66.00 (21.19),44.19 (16.47),74.00 (16.47),34.00 (13.50),58.00 (25.73),34.00 (18.97),32,,,,,,,,,,
,,4,32.00 (21.50),39.33 (19.49),40.00 (24.94),38.00 (22.01),40.00 (21.08),52.85 (8.83),62.00 (25.73),46.51 (17.13),74.00 (16.47),28.00 (16.87),58.00 (22.01),38.00 (22.01),32,,,,,,,,,,
,,5,26.00 (25.03),32.00 (19.32),34.00 (18.97),30.00 (21.60),32.00 (23.48),52.85 (10.89),62.00 (25.73),53.49 (21.51),74.00 (21.19),22.00 (14.76),56.00 (20.66),34.00 (16.47),26,,,,,,,,,,
,I-IKE,0,58.00 (14.76),54.67 (7.57),54.00 (16.47),52.00 (13.98),58.00 (11.35),65.80 (9.48),76.00 (15.78),53.49 (17.55),74.00 (18.97),58.00 (19.89),52.00 (27.00),58.00 (27.41),58,,,,,,,,,-0.2130806822,
,,1,56.00 (12.65),50.67 (11.84),56.00 (22.71),48.00 (13.98),48.00 (13.98),60.62 (11.43),74.00 (18.97),51.16 (16.02),66.00 (21.19),50.00 (19.44),54.00 (18.97),52.00 (23.48),56,,,,,,,,,,
,,2,56.00 (12.65),54.67 (10.33),62.00 (11.35),50.00 (19.44),52.00 (13.98),61.14 (10.67),70.00 (19.44),53.49 (12.43),68.00 (21.50),52.00 (25.30),66.00 (18.97),54.00 (23.19),56,,,,,,,,,,
,,3,56.00 (12.65),52.00 (8.20),54.00 (13.50),48.00 (13.98),54.00 (13.50),62.18 (7.56),72.00 (16.87),46.51 (16.34),72.00 (23.48),56.00 (18.38),54.00 (16.47),46.00 (21.19),56,,,,,,,,,,
,,4,62.00 (14.76),56.67 (9.03),60.00 (13.33),52.00 (13.98),58.00 (14.76),60.10 (8.31),70.00 (19.44),48.84 (15.47),74.00 (23.19),46.00 (18.97),54.00 (16.47),46.00 (23.19),62,,,,,,,,,,
,,5,62.00 (17.51),56.67 (11.44),58.00 (19.89),58.00 (17.51),54.00 (13.50),59.07 (9.55),66.00 (21.19),51.16 (13.08),70.00 (21.60),48.00 (21.50),56.00 (26.33),52.00 (16.87),62,,,,,,,,,,
,WISE,0,100.00,100.00,100.00,100.00,100.00,41.45,85.71,40.54,33.33,35.63,88.00,20.00,100.00,,,,,,,,,,
,,1,78.00,75.33,74.00,78.00,74.00,40.41,80.95,35.13,29.17,39.08,94.00,16.00,78.00,,,,,,,,,,
,,2,76.00,68.00,68.00,72.00,64.00,37.82,85.71,32.43,27.08,34.48,98.00,18.00,76.00,,,,,,,,,,
,,3,74.00,66.00,62.00,72.00,64.00,38.34,80.95,35.13,20.83,39.08,96.00,14.00,74.00,,,,,,,,,,
,,4,70.00,61.33,60.00,64.00,60.00,37.82,85.71,35.13,16.67,39.08,90.00,16.00,70.00,,,,,,,,,,
,,5,62.00,54.67,52.00,60.00,52.00,37.82,85.71,27.02,16.67,42.53,92.00,16.00,62.00,,,,,,,,,,
Qwen2-Audio,FT (LLM),0,100.00 (0.00),100.00 (0.00),100.00 (0.00),100.00 (0.00),100.00 (0.00),51.30 (6.64),62.00 (19.89),9.30 (19.73),76.00 (15.78),52.00 (16.87),68.00 (19.32),18.00 (14.76),100,,,,,,,,,0.3126241764,
,,1,82.00 (17.51),74.67 (21.50),74.00 (21.19),78.00 (22.01),72.00 (23.48),46.11 (9.68),56.00 (24.59),23.26 (17.99),58.00 (22.01),44.00 (12.65),66.00 (16.47),16.00 (12.65),82,,,,,,,,,,
,,2,72.00 (13.98),60.67 (17.62),60.00 (18.86),66.00 (16.47),56.00 (20.66),44.56 (16.42),58.00 (33.27),20.93 (23.45),52.00 (21.50),44.00 (20.66),64.00 (18.38),18.00 (14.76),72,,,,,,,,,,
,,3,70.00 (14.14),54.00 (13.13),52.00 (13.98),60.00 (13.33),50.00 (17.00),45.60 (11.28),62.00 (31.90),23.26 (20.30),42.00 (17.51),52.00 (13.98),66.00 (16.47),14.00 (21.19),70,,,,,,,,,,
,,4,66.00 (16.47),50.67 (7.83),50.00 (10.54),56.00 (12.65),46.00 (13.50),47.15 (15.34),54.00 (31.34),30.23 (25.58),44.00 (18.38),58.00 (23.94),66.00 (18.97),18.00 (17.51),66,,,,,,,,,,
,,5,56.00 (20.66),43.33 (14.49),42.00 (17.51),50.00 (14.14),38.00 (17.51),40.93 (9.49),46.00 (26.75),23.26 (16.84),40.00 (16.33),52.00 (16.87),58.00 (17.51),16.00 (15.78),56,,,,,,,,,,
,FT (Audio),0,100.00 (0.00),82.67 (14.81),100.00 (0.00),72.00 (27.00),76.00 (18.38),82.90 (6.83),86.00 (13.50),79.07 (18.38),86.00 (13.50),80.00 (18.86),100.00 (0.00),40.00 (18.86),100,40,3,2,-0.4242640687,,,,,-0.3882901374,
,,1,100.00 (0.00),78.67 (12.49),94.00 (9.66),72.00 (16.87),70.00 (17.00),80.83 (8.43),80.00 (16.33),79.07 (24.81),84.00 (15.78),80.00 (18.86),100.00 (0.00),40.00 (21.08),100,40,3,2,,,,,,,
,,2,100.00 (0.00),77.33 (13.03),92.00 (10.33),72.00 (16.87),68.00 (19.32),79.27 (8.79),82.00 (17.51),76.74 (23.69),80.00 (16.33),78.00 (19.89),100.00 (0.00),38.00 (17.51),100,38,3,4,,,,,,,
,,3,100.00 (0.00),75.33 (12.59),94.00 (9.66),70.00 (17.00),62.00 (22.01),78.76 (8.26),78.00 (19.89),74.42 (17.55),78.00 (14.76),84.00 (22.71),100.00 (0.00),34.00 (13.50),100,34,3,5.5,,,,,,,
,,4,100.00 (0.00),76.00 (15.46),96.00 (8.43),70.00 (21.60),62.00 (25.73),77.72 (6.59),78.00 (19.89),72.09 (22.51),78.00 (14.76),82.00 (19.89),100.00 (0.00),34.00 (16.47),100,34,3,5.5,,,,,,,
,,5,98.00 (6.32),75.33 (14.42),98.00 (6.32),68.00 (21.50),60.00 (23.09),74.09 (8.58),76.00 (20.66),65.12 (17.00),72.00 (13.98),82.00 (19.89),100.00 (0.00),40.00 (26.67),98,40,6,2,,,,,,,
,MEND,0,88.00 (16.87),88.67 (10.91),92.00 (10.33),90.00 (14.14),84.00 (12.65),72.02 (8.16),70.00 (17.00),53.49 (23.90),76.00 (15.78),86.00 (16.47),86.00 (16.47),18.00 (19.89),88,,,,,,,,,0.4210206686,
,,1,76.00 (24.59),72.67 (20.72),72.00 (23.48),76.00 (24.59),70.00 (17.00),73.58 (11.51),74.00 (21.19),55.81 (27.87),72.00 (13.98),90.00 (14.14),82.00 (19.89),20.00 (18.86),76,,,,,,,,,,
,,2,66.00 (23.19),68.67 (19.64),66.00 (23.19),72.00 (23.48),68.00 (16.87),69.43 (10.74),66.00 (28.36),58.14 (21.19),70.00 (19.44),82.00 (17.51),66.00 (23.19),18.00 (14.76),66,,,,,,,,,,
,,3,68.00 (27.00),68.00 (20.32),72.00 (19.32),66.00 (28.36),66.00 (18.97),69.43 (8.80),68.00 (28.60),60.47 (25.60),70.00 (17.00),78.00 (22.01),72.00 (21.50),18.00 (17.51),68,,,,,,,,,,
,,4,62.00 (19.89),66.67 (15.71),72.00 (19.32),66.00 (21.19),62.00 (11.35),63.73 (11.17),60.00 (23.09),55.81 (24.77),62.00 (22.01),76.00 (22.71),68.00 (16.87),12.00 (13.98),62,,,,,,,,,,
,,5,60.00 (21.08),54.67 (18.80),60.00 (21.08),54.00 (25.03),50.00 (14.14),62.18 (10.47),66.00 (23.19),55.81 (11.50),56.00 (22.71),70.00 (19.44),68.00 (13.98),18.00 (17.51),60,,,,,,,,,,
,KE,0,72.00 (10.33),70.67 (15.46),72.00 (10.33),68.00 (19.32),72.00 (19.32),43.01 (8.91),36.00 (8.43),18.60 (13.58),66.00 (13.50),48.00 (13.98),50.00 (19.44),14.00 (16.47),72,,,,,,,,,0.9752736427,
,,1,28.00 (13.98),27.33 (13.13),30.00 (14.14),26.00 (13.50),26.00 (13.50),30.05 (10.40),38.00 (23.94),20.93 (17.87),28.00 (10.33),32.00 (16.87),38.00 (19.89),4.00 (8.43),28,,,,,,,,,,
,,2,16.00 (15.78),16.67 (16.41),14.00 (16.47),20.00 (16.33),16.00 (18.38),24.87 (10.15),24.00 (18.38),23.26 (21.22),24.00 (15.78),28.00 (25.30),34.00 (31.34),2.00 (6.32),16,,,,,,,,,,
