Model (LALM),Method,Attr.,Rel.,Gen.,,,,Audio Loc.,,,,,"Text 
Loc.",Port.
,,,,Avg,Type 1,Type 2,Type 3,Avg.,Type 1,Type 2,Type 3,Type 4,,
DeSTA2.5,FT (LLM),ALL,99.75,98.75,99.67,99.00,97.58,64.93,87.92,15.78,74.67,69.08,82.67,18.83
,,Animal,99.33,99.11,99.67,99.33,98.33,55.08,91.00,9.33,56.33,63.67,83.33,20.00
,,Emotion,100.00,99.56,99.33,100.00,99.33,53.17,80.67,7.33,59.67,65.00,77.67,22.00
,,Gender,99.67,96.78,99.67,96.67,94.00,84.44,90.33,N/A,88.33,74.67,88.33,6.00
,,Language,100.00,99.56,100.00,100.00,98.67,71.92,89.67,30.67,94.33,73.00,81.33,27.33
,FT (Audio),ALL,99.50,86.06,96.75,84.83,76.58,68.13,78.58,48.11,76.00,64.83,100.00,55.33
,,Animal,99.00,85.67,97.33,83.00,76.67,62.08,81.67,40.67,60.00,66.00,100.00,29.33
,,Emotion,99.67,78.56,95.33,73.67,66.67,60.75,77.67,38.67,66.00,60.67,100.00,46.00
,,Gender,99.67,92.22,99.33,92.33,85.00,77.78,78.33,N/A,87.33,67.67,100.00,82.67
,,Language,99.67,87.78,95.00,90.33,78.00,74.33,76.67,65.00,90.67,65.00,100.00,63.33
,KE,ALL,99.58,99.17,99.25,99.25,99.00,79.49,96.42,43.89,76.33,92.42,93.08,17.33
,,Animal,98.67,97.33,97.67,97.33,97.00,77.42,97.00,61.67,59.00,92.00,93.00,23.33
,,Emotion,100.00,100.00,100.00,100.00,100.00,66.25,98.33,16.33,59.33,91.00,93.67,16.00
,,Gender,99.67,99.56,99.33,99.67,99.67,94.22,96.67,N/A,92.33,93.67,93.33,7.67
,,Language,100.00,99.78,100.00,100.00,99.33,83.75,93.67,53.67,94.67,93.00,92.33,22.33
,MEND,ALL,95.25,94.94,95.83,95.08,93.92,71.44,93.50,17.22,74.58,86.92,92.00,18.08
,,Animal,90.00,89.22,91.33,88.67,87.67,63.50,93.67,19.33,57.00,84.00,92.33,20.33
,,Emotion,99.67,98.44,99.00,99.00,97.33,62.17,94.67,9.00,59.33,85.67,93.33,23.67
,,Gender,98.67,97.00,97.33,99.33,94.33,91.78,97.00,N/A,88.33,90.00,90.33,4.67
,,Language,92.67,95.11,95.67,93.33,96.33,73.42,88.67,23.33,93.67,88.00,92.00,23.67
,UnKE,ALL,,,,,,,,,,,,
,,Animal,,,,,,,,,,,,
,,Emotion,,,,,,,,,,,,
,,Gender,,,,,,,,,,,,
,,Language,,,,,,,,,,,,
,I-IKE,ALL,64.25,61.08,64.67,58.83,59.75,65.49,79.33,50.67,73.67,54.58,61.92,71.33
,,Animal,90.33,92.67,92.67,92.67,92.67,54.92,83.67,22.00,59.67,54.33,60.67,78.33
,,Emotion,59.00,49.78,58.00,44.67,46.67,59.92,80.67,45.33,62.00,51.67,59.67,65.33
,,Gender,69.00,64.11,71.00,60.33,61.00,73.33,81.33,N/A,79.67,59.00,63.67,72.67
